"","Coin.Name..Code.","Price","Change..24h.","Market.Cap","Volume..24h.","Buy.Coin"
"1","Bitcoin(BTC)","<U+20B9> 37,14,550","<U+25B2>
                  +17,992               +0.49%","<U+20B9> 65.5T","<U+20B9> 2.7T","Buy on CoinSwitch &plus;9 options"
"2","Ethereum(ETH)","<U+20B9> 2,44,725","<U+25B2>
                  +289               +0.12%","<U+20B9> 26.9T","<U+20B9> 1.4T","Buy on CoinSwitch &plus;8 options"
"3","Cardano(ADA)","<U+20B9> 206.75","<U+25B2>
                  +2.48               +1.22%","<U+20B9> 6.1T","<U+20B9> 507.2B","Buy on CoinSwitch &plus;7 options"
"4","Tether(USDT)","<U+20B9> 78.52","<U+25BC>
                  -0.74               -0.93%","<U+20B9> 4.9T","<U+20B9> 6.0T","Buy on CoinSwitch &plus;6 options"
"5","Ripple(XRP)","<U+20B9> 86.72","<U+25BC>
                  -1.62               -1.83%","<U+20B9> 3.9T","<U+20B9> 352.2B","Buy on CoinSwitch &plus;7 options"
"6","Dogecoin(DOGE)","<U+20B9> 21.58","<U+25BC>
                  -0.19               -0.88%","<U+20B9> 2.7T","<U+20B9> 188.0B","Buy on CoinSwitch &plus;7 options"
"7","Polkadot(DOT)","<U+20B9> 1,952","<U+25B2>
                  +7.25               +0.37%","<U+20B9> 1.8T","<U+20B9> 127.6B","Buy on CoinSwitch &plus;5 options"
"8","Uniswap(UNI)","<U+20B9> 2,054.48","<U+25B2>
                  +4.78               +0.23%","<U+20B9> 1.2T","<U+20B9> 26.4B","Buy on CoinSwitch &plus;5 options"
"9","Bitcoin Cash(BCH)","<U+20B9> 45,226","<U+25BC>
                  -279.83               -0.61%","<U+20B9> 850.3B","<U+20B9> 3.1B","Buy on Coinbase &plus;6 options"
"10","Litecoin(LTC)","<U+20B9> 13,338","<U+25BC>
                  -98               -0.73%","<U+20B9> 842.9B","<U+20B9> 131.3B","Buy on CoinSwitch &plus;7 options"
"11","Chainlink(LINK)","<U+20B9> 1,949.76","<U+25BC>
                  -32.7               -1.62%","<U+20B9> 829.0B","<U+20B9> 104.5B","Buy on CoinSwitch &plus;7 options"
"12","Stellar(XLM)","<U+20B9> 26.61","<U+25BC>
                  -0.32               -1.17%","<U+20B9> 594.6B","<U+20B9> 46.3B","Buy on CoinSwitch &plus;6 options"
"13","TRON(TRX)","<U+20B9> 6.63","<U+25BC>
                  0.00               -0.07%","<U+20B9> 446.1B","<U+20B9> 85.9B","Buy on CoinSwitch &plus;7 options"
"14","Monero(XMR)","<U+20B9> 20,637","<U+25B2>
                  +130.98               +0.64%","<U+20B9> 405.1B","<U+20B9> 17,521","Buy on Bitbns &plus;4 options"
"15","EOS(EOS)","<U+20B9> 379","<U+25BC>
                  -10.39               -2.67%","<U+20B9> 348.4B","<U+20B9> 111.3B","Buy on CoinSwitch &plus;6 options"
